movieId,name
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
2,Adventure
2,Children
2,Fantasy
3,Comedy
3,Romance
4,Romance
4,Drama
4,Comedy
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Children
8,Adventure
9,Action
10,Adventure
10,Action
10,Thriller
11,Comedy
11,Romance
11,Drama
12,Comedy
12,Horror
13,Children
13,Adventure
13,Animation
14,Drama
15,Romance
15,Adventure
15,Action
16,Drama
16,Crime
17,Drama
17,Romance
18,Comedy
19,Comedy
20,Crime
20,Comedy
20,Thriller
20,Drama
20,Action
21,Thriller
21,Crime
21,Comedy
22,Drama
22,Horror
22,Mystery
22,Thriller
22,Crime
23,Action
23,Crime
23,Thriller
24,Sci-Fi
24,Drama
25,Romance
25,Drama
26,Drama
27,Drama
27,Children
28,Romance
28,Drama
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
30,Drama
30,Crime
31,Drama
32,Mystery
32,Sci-Fi
32,Thriller
34,Children
34,Drama
35,Romance
35,Drama
36,Drama
36,Crime
37,IMAX
37,Documentary
38,Comedy
38,Children
39,Comedy
39,Romance
40,Drama
41,Drama
41,War
42,Drama
42,Action
42,Crime
43,Drama
44,Adventure
44,Action
44,Fantasy
45,Drama
45,Thriller
45,Comedy
46,Romance
46,Drama
47,Mystery
47,Thriller
48,Drama
48,Musical
48,Animation
48,Children
48,Romance
49,Drama
49,Romance
50,Thriller
50,Mystery
50,Crime
52,Drama
52,Comedy
52,Romance
53,Adventure
53,Drama
54,Children
54,Comedy
55,Drama
57,Drama
58,Comedy
58,Romance
58,Drama
59,Drama
59,Mystery
60,Fantasy
60,Adventure
60,Children
61,Drama
61,Thriller
62,Drama
63,Comedy
63,Crime
64,Comedy
64,Romance
65,Comedy
66,Thriller
66,Sci-Fi
66,Action
68,Romance
68,Comedy
69,Comedy
70,Thriller
70,Action
70,Comedy
70,Horror
71,Action
72,Drama
72,Comedy
73,War
73,Drama
74,Romance
74,Drama
76,Action
76,Sci-Fi
76,Thriller
77,Documentary
78,Action
78,Crime
78,Drama
78,Thriller
79,Drama
79,Thriller
80,Children
80,Drama
81,Crime
81,Drama
81,Romance
82,Drama
82,Comedy
83,Drama
83,Romance
84,Drama
84,Comedy
85,Drama
85,Romance
86,Action
86,Drama
86,Adventure
87,Comedy
87,Children
88,Comedy
89,Action
89,Thriller
92,Horror
92,Thriller
92,Drama
93,Comedy
93,Horror
93,Romance
94,Drama
94,Romance
94,Comedy
95,Adventure
95,Action
95,Thriller
96,Comedy
96,Drama
97,Drama
97,Crime
98,Thriller
98,Action
99,Documentary
100,Thriller
100,Drama
101,Romance
101,Crime
101,Comedy
101,Adventure
102,Comedy
103,Thriller
103,Sci-Fi
103,Mystery
104,Comedy
105,Drama
105,Romance
107,Children
107,Comedy
107,Musical
107,Adventure
108,Documentary
110,War
110,Drama
110,Action
111,Thriller
111,Drama
111,Crime
112,Crime
112,Comedy
112,Adventure
112,Action
113,Drama
113,Mystery
114,Drama
116,Documentary
117,Drama
117,Crime
118,Romance
118,Comedy
119,Comedy
121,Drama
122,Romance
122,Comedy
123,Mystery
123,Drama
123,Romance
124,Drama
125,Comedy
126,Fantasy
126,Children
126,Adventure
129,Romance
129,Comedy
130,Drama
131,Drama
131,Romance
132,Thriller
135,Comedy
137,Documentary
140,Romance
140,Drama
141,Comedy
144,Comedy
145,Thriller
145,Drama
145,Crime
145,Action
145,Comedy
146,Children
146,Adventure
147,Drama
148,Drama
149,Drama
149,Thriller
149,Crime
150,Drama
150,Adventure
150,IMAX
151,Romance
151,Drama
151,Action
151,War
152,Horror
152,Drama
153,Action
153,Adventure
153,Comedy
153,Crime
154,Drama
155,War
155,Drama
155,Adventure
156,Drama
156,Comedy
157,War
157,Comedy
158,Children
158,Adventure
159,Drama
159,Mystery
159,Crime
160,Adventure
160,Action
160,Sci-Fi
160,Mystery
161,Thriller
161,Drama
161,War
162,Documentary
163,Romance
163,Action
163,Western
164,Mystery
164,Film-Noir
164,Thriller
164,Crime
165,Crime
165,Thriller
165,Action
166,Drama
166,Crime
166,Comedy
167,Drama
168,Romance
168,Action
168,Drama
169,Adventure
169,Drama
169,Children
170,Action
170,Adventure
170,Crime
170,Thriller
171,Comedy
171,Drama
172,Sci-Fi
172,Action
172,Thriller
173,Sci-Fi
173,Crime
173,Action
174,Comedy
175,Drama
176,Comedy
177,Horror
178,Drama
178,Comedy
179,Romance
179,Drama
180,Comedy
180,Romance
181,Children
181,Action
